domain_name,ips,updated_date
hazelhurst.coop,81.95.52.79,2014-10-13 07:00:00 UTC
fcsdsq.coop,207.253.182.18,2014-10-13 07:00:00 UTC
hometowncu.coop,67.210.88.55,2014-10-13 07:00:00 UTC
ticket.coop,109.236.94.119,2014-10-13 07:00:00 UTC
agrariavalles.coop,188.93.77.149 0:0:0:0:0:0:c34d:7408,2014-10-13 07:00:00 UTC
serviceconcepts.coop,64.92.121.25,2014-10-13 07:00:00 UTC
5pointcu.coop,66.96.161.129,2014-10-13 07:00:00 UTC
co-operativeenergyclub.coop,217.10.159.135,2014-10-13 07:00:00 UTC
barranquitas.coop,173.193.105.243,2014-10-13 07:00:00 UTC
tworivers.coop,66.112.153.1,2014-10-13 07:00:00 UTC
farmfriends.coop,,2014-10-13 07:00:00 UTC
coopnature.coop,217.70.184.38,2014-10-13 07:00:00 UTC
ejcc.coop,50.22.11.19,2014-10-13 07:00:00 UTC
community.coop,209.240.68.25,2014-10-13 07:00:00 UTC
cooperativerenewables.coop,79.170.44.86,2014-10-13 07:00:00 UTC
co-operativepower.coop,127.0.0.1,2014-10-13 07:00:00 UTC
cal.coop,78.109.168.152,2014-10-13 07:00:00 UTC
ect.coop,199.204.138.208,2014-10-13 07:00:00 UTC
creagora.coop,72.55.186.26,2014-10-13 07:00:00 UTC
bettybossi.coop,80.92.90.41,2014-10-13 07:00:00 UTC
prtc.coop,192.249.112.231,2014-10-13 07:00:00 UTC
collegehouses.coop,66.96.161.140,2014-10-13 07:00:00 UTC
beavercreek.coop,198.20.70.218,2014-10-13 07:00:00 UTC
aer.coop,87.106.77.128,2014-10-13 07:00:00 UTC
ahcu.coop,67.228.162.194,2014-10-13 07:00:00 UTC
citypairs.coop,193.135.167.113,2014-10-13 07:00:00 UTC
diesel.coop,,2014-10-13 07:00:00 UTC
canola.coop,,2014-10-13 07:00:00 UTC
wiserider.coop,173.193.105.243,2014-10-13 07:00:00 UTC
masdenoguera.coop,87.98.229.220,2014-10-13 07:00:00 UTC
sydes.coop,,2014-10-13 07:00:00 UTC
organicsoy.coop,,2014-10-13 07:00:00 UTC
cadm.coop,191.234.148.26,2014-10-13 07:00:00 UTC
rgec.coop,,2014-10-13 07:00:00 UTC
remax.coop,,2014-10-13 07:00:00 UTC
katudgevik.coop,173.193.105.245,2014-10-13 07:00:00 UTC
trustyamigos.coop,66.155.11.238 76.74.254.120 76.74.254.123 192.0.80.250 192.0.81.250 66.155.9.238,2014-10-13 07:00:00 UTC
theco-operativebankinggroup.coop,185.26.230.129,2014-10-13 07:00:00 UTC
coopscooutaouais.coop,142.169.4.12,2014-10-13 07:00:00 UTC
recc.coop,208.80.144.110,2014-10-13 07:00:00 UTC
cuylm.coop,66.155.11.238 76.74.254.120 76.74.254.123 192.0.80.250 192.0.81.250 66.155.9.238,2014-10-13 07:00:00 UTC
cooptravelpersonaladvisors.coop,217.10.159.135,2014-10-13 07:00:00 UTC
music.coop,199.175.106.74,2014-10-13 07:00:00 UTC
icua.coop,209.161.20.156,2014-10-13 07:00:00 UTC
compton.coop,207.164.135.40,2014-10-13 07:00:00 UTC
groupecoopreleve.coop,173.193.106.11,2014-10-13 07:00:00 UTC
leconsortium.coop,192.95.8.38,2014-10-13 07:00:00 UTC
enostra.coop,151.1.182.16,2014-10-13 07:00:00 UTC
arquetipo.coop,134.0.10.119,2014-10-13 07:00:00 UTC
coopconsortium.coop,217.10.159.135,2014-10-13 07:00:00 UTC
permaculture.coop,104.28.6.24 104.28.7.24 2400:cb00:2048:1:0:0:681c:618 2400:cb00:2048:1:0:0:681c:718,2014-10-13 07:00:00 UTC
lemat.coop,173.193.105.242,2014-10-13 07:00:00 UTC
blachlylane.coop,207.55.17.142,2014-10-13 07:00:00 UTC
pal-system.coop,,2014-10-13 07:00:00 UTC
libertymutual.coop,192.185.122.142,2014-10-13 07:00:00 UTC
lacoopdesmonteregiennes.coop,207.164.135.40,2014-10-13 07:00:00 UTC
cooperation2011.coop,74.220.215.234,2014-10-13 07:00:00 UTC
clockwise.coop,146.255.6.77,2014-10-13 07:00:00 UTC
data.coop,193.106.165.65,2014-10-13 07:00:00 UTC
manchesterfood.coop,184.168.18.1,2014-10-13 07:00:00 UTC
coloc.coop,74.220.215.234,2014-10-13 07:00:00 UTC
coreapc.coop,178.33.14.85,2014-10-13 07:00:00 UTC
nwcdc.coop,68.233.165.248,2014-10-13 07:00:00 UTC
sikorskyfederalcreditunion.coop,,2014-10-13 07:00:00 UTC
csqca.coop,,2014-10-13 07:00:00 UTC
incontrol-evolution.coop,79.125.26.158,2014-10-13 07:00:00 UTC
chippewavalley.coop,216.222.171.2,2014-10-13 07:00:00 UTC
hbotisfcu.coop,173.193.105.243,2014-10-13 07:00:00 UTC
zenrosai-kagoshima.coop,180.222.81.63,2014-10-13 07:00:00 UTC
farmhousekitchens.coop,23.236.62.147,2014-10-13 07:00:00 UTC
loveyourhouse.coop,185.26.230.129,2014-10-13 07:00:00 UTC
cave.coop,79.170.44.115,2014-10-13 07:00:00 UTC
hometownharvest.coop,162.219.194.12,2014-10-13 07:00:00 UTC
co-oponlinedoctor.coop,217.10.159.135,2014-10-13 07:00:00 UTC
opcions.coop,217.76.128.221,2014-10-13 07:00:00 UTC
libertyshipcafe.coop,66.147.244.226,2014-10-13 07:00:00 UTC
symbiotic.coop,205.204.73.202 2605:9000:402:6a17:0:0:0:61,2014-10-13 07:00:00 UTC
theco-operativedirect.coop,127.0.0.1,2014-10-13 07:00:00 UTC
diesis.coop,93.95.219.78,2014-10-13 07:00:00 UTC
coocreser.coop,190.90.160.70,2014-10-13 07:00:00 UTC
tworiversks.coop,54.243.30.66 23.21.68.31,2014-10-13 07:00:00 UTC
rgm.coop,194.247.28.46,2014-10-13 07:00:00 UTC
personalbranch.coop,69.58.186.114,2014-10-13 07:00:00 UTC
kauairenewablesolutions.coop,173.193.105.244,2014-10-13 07:00:00 UTC
hbtelcofcu.coop,192.185.191.50,2014-10-13 07:00:00 UTC
cooperationagricole.coop,92.103.166.45,2014-10-13 07:00:00 UTC
rgtc.coop,68.65.51.100,2014-10-13 07:00:00 UTC
incontrolevolution.coop,127.0.0.1,2014-10-13 07:00:00 UTC
coopseguros.coop,162.222.225.82,2014-10-13 07:00:00 UTC
hometruths.coop,5.100.152.24,2014-10-13 07:00:00 UTC
open.coop,93.95.225.242,2014-10-13 07:00:00 UTC
dig.coop,67.217.100.75,2014-10-13 07:00:00 UTC
libraries.coop,64.69.93.200,2014-10-13 07:00:00 UTC
theco-operativeenergy.coop,217.10.159.135,2014-10-13 07:00:00 UTC
indaco.coop,109.168.109.226,2014-10-13 07:00:00 UTC
synergies.coop,91.121.25.113,2014-10-13 07:00:00 UTC
openfarmsunday.coop,54.208.43.161,2014-10-13 07:00:00 UTC
zenrosai-kouchi.coop,180.222.81.63,2014-10-13 07:00:00 UTC
libre.coop,108.59.11.121 2604:9a00:2010:a005:1:0:0:9c,2014-10-13 07:00:00 UTC
lacoope.coop,200.26.107.82,2014-10-13 07:00:00 UTC
emulti.coop,176.63.203.21,2014-10-13 07:00:00 UTC
digital.coop,210.136.175.41,2014-10-13 07:00:00 UTC
gardensofeagan.coop,173.203.199.88,2014-10-13 07:00:00 UTC
donottaxmycreditunion.coop,66.228.53.58,2014-10-13 07:00:00 UTC
theco-operativefuneral-care.coop,46.18.172.5,2014-10-13 07:00:00 UTC
buyeandi.coop,65.51.179.84,2014-10-13 07:00:00 UTC
slcu.coop,173.193.106.10,2014-10-13 07:00:00 UTC
kawaguchi-clinic.coop,203.183.6.73,2014-10-13 07:00:00 UTC
independent.coop,217.199.23.137,2014-10-13 07:00:00 UTC
eurocoopbanks.coop,173.193.105.242,2014-10-13 07:00:00 UTC
formationsig.coop,173.193.106.14,2014-10-13 07:00:00 UTC
femelectric.coop,216.235.160.56,2014-10-13 07:00:00 UTC
frequency.coop,173.193.105.246,2014-10-13 07:00:00 UTC
flights.coop,173.193.105.242,2014-10-13 07:00:00 UTC
spurfcu.coop,64.74.187.110,2014-10-13 07:00:00 UTC
ruralconnect.coop,204.145.144.4,2014-10-13 07:00:00 UTC
norval.coop,216.235.160.56,2014-10-13 07:00:00 UTC
hillcrestcommunity.coop,199.34.228.56,2014-10-13 07:00:00 UTC
hughgarner.coop,208.91.198.55,2014-10-13 07:00:00 UTC
schoolsonlinebanking.coop,173.193.106.12,2014-10-13 07:00:00 UTC
robertowen2008.coop,137.44.1.12,2014-10-13 07:00:00 UTC
nceasterncoops.coop,50.57.28.127,2014-10-13 07:00:00 UTC
sugarcane.coop,192.185.158.101,2014-10-13 07:00:00 UTC
newvision.coop,66.112.153.1,2014-10-13 07:00:00 UTC
prairielakeestates.coop,199.34.228.58,2014-10-13 07:00:00 UTC
parkhill.coop,199.34.228.56,2014-10-13 07:00:00 UTC
pvrea.coop,173.193.106.10,2014-10-13 07:00:00 UTC
pioneerelectric.coop,206.155.92.61,2014-10-13 07:00:00 UTC
prime-wayfcu.coop,173.193.105.244,2014-10-13 07:00:00 UTC
coopcostruzioni.coop,91.206.74.28,2014-10-13 07:00:00 UTC
coopgeneral.coop,173.193.105.243,2014-10-13 07:00:00 UTC
shares.coop,208.91.198.55,2014-10-13 07:00:00 UTC
cooperatorsinsuranceservices.coop,173.193.105.243,2014-10-13 07:00:00 UTC
ourharvest.coop,184.106.62.91,2014-10-13 07:00:00 UTC
somec.coop,173.193.105.245,2014-10-13 07:00:00 UTC
valleyelectric.coop,12.14.248.2,2014-10-13 07:00:00 UTC
tasiujaq.coop,207.96.246.22,2014-10-13 07:00:00 UTC
hillmanhousing.coop,66.96.161.151,2014-10-13 07:00:00 UTC
thecooperativeemployeebenefits.coop,217.10.138.16,2014-10-13 07:00:00 UTC
social-in3.coop,84.16.89.187,2014-10-13 07:00:00 UTC
thekitchen.coop,162.222.226.194,2014-10-13 07:00:00 UTC
prairiepower.coop,71.173.211.201,2014-10-13 07:00:00 UTC
ruralelectric.coop,68.65.51.100,2014-10-13 07:00:00 UTC
sants.coop,181.224.138.70,2014-10-13 07:00:00 UTC
zenrosai-kumamoto.coop,180.222.81.63,2014-10-13 07:00:00 UTC
cecil.coop,217.172.136.99,2014-10-13 07:00:00 UTC
primeraturf.coop,173.230.142.129,2014-10-13 07:00:00 UTC
theco-operativegreenschools.coop,127.0.0.1,2014-10-13 07:00:00 UTC
gvinc.coop,23.21.68.31 54.243.30.66,2014-10-13 07:00:00 UTC
alfalfaelectric.coop,184.178.47.174,2014-10-13 07:00:00 UTC
sanvicente.coop,184.106.55.101,2014-10-13 07:00:00 UTC
schpc.coop,97.74.144.16,2014-10-13 07:00:00 UTC
pvsquared.coop,107.170.170.166,2014-10-13 07:00:00 UTC
floral.coop,165.160.15.20 165.160.13.20,2014-10-13 07:00:00 UTC
somenergia.coop,94.23.31.144,2014-10-13 07:00:00 UTC
pioneers.coop,185.26.230.129,2014-10-13 07:00:00 UTC
sugarcanegrowers.coop,209.160.74.151,2014-10-13 07:00:00 UTC
floridacentral.coop,208.35.184.37,2014-10-13 07:00:00 UTC
shareyourexperiences.coop,46.18.172.10,2014-10-13 07:00:00 UTC
sdrea.coop,96.2.197.30,2014-10-13 07:00:00 UTC
pioneervalley.coop,207.97.212.147,2014-10-13 07:00:00 UTC
lacoopeencasa.coop,200.26.107.83,2014-10-13 07:00:00 UTC
cecjobs.coop,213.146.143.251,2014-10-13 07:00:00 UTC
primerodemayo.coop,217.70.184.38,2014-10-13 07:00:00 UTC
somerset.coop,216.239.36.21 216.239.38.21 216.239.32.21,2014-10-13 07:00:00 UTC
alhambracu.coop,74.204.78.185,2014-10-13 07:00:00 UTC
kawaru-seikyou.coop,203.189.109.243,2014-10-13 07:00:00 UTC
saos.coop,88.208.252.203,2014-10-13 07:00:00 UTC
pipp.coop,184.106.55.18,2014-10-13 07:00:00 UTC
sharonview.coop,80.72.128.45,2014-10-13 07:00:00 UTC
gws-wohnen.coop,130.185.108.125,2014-10-13 07:00:00 UTC
coopcp.coop,200.50.161.253,2014-10-13 07:00:00 UTC
scic.coop,212.85.128.39,2014-10-13 07:00:00 UTC
femoba.coop,200.110.132.180,2014-10-13 07:00:00 UTC
alianza.coop,98.129.229.219,2014-10-13 07:00:00 UTC
kawvalleyelectric.coop,50.57.28.127,2014-10-13 07:00:00 UTC
sharonviewfcu.coop,80.72.128.45,2014-10-13 07:00:00 UTC
fenestra.coop,216.251.43.98,2014-10-13 07:00:00 UTC
zenrosai-miyazaki.coop,180.222.81.63,2014-10-13 07:00:00 UTC
lacooperationagricole.coop,92.103.166.50,2014-10-13 07:00:00 UTC
sommet.coop,72.52.10.14,2014-10-13 07:00:00 UTC
sapec.coop,91.121.112.10,2014-10-13 07:00:00 UTC
pironegawatt.coop,82.98.146.2,2014-10-13 07:00:00 UTC
kayelectric.coop,162.209.38.36,2014-10-13 07:00:00 UTC
scicmidipyrenees.coop,212.85.128.39,2014-10-13 07:00:00 UTC
sul.coop,112.175.50.237,2014-10-13 07:00:00 UTC
scil.coop,46.105.164.36 2001:41d0:2:c701:0:0:0:1,2014-10-13 07:00:00 UTC
newway.coop,183.111.141.53,2014-10-13 07:00:00 UTC
sommetinter.coop,64.254.18.129,2014-10-13 07:00:00 UTC
coopcredit.coop,217.13.117.233,2014-10-13 07:00:00 UTC
sheffield.coop,81.95.52.102,2014-10-13 07:00:00 UTC
sommetinter2012.coop,72.52.10.14,2014-10-13 07:00:00 UTC
sciremc.coop,173.193.105.242,2014-10-13 07:00:00 UTC
journal.coop,209.44.112.66,2014-10-13 07:00:00 UTC
broadband.coop,82.71.204.26,2014-10-13 07:00:00 UTC
shelbyelectric.coop,98.129.229.60,2014-10-13 07:00:00 UTC
minnesotacreditunions.coop,173.193.105.245,2014-10-13 07:00:00 UTC
sapie.coop,80.67.160.70,2014-10-13 07:00:00 UTC
newyorkworker.coop,208.90.215.75,2014-10-13 07:00:00 UTC
escuela2.coop,173.193.105.244,2014-10-13 07:00:00 UTC
iccic-gungho.coop,173.193.106.13,2014-10-13 07:00:00 UTC
arbequina.coop,216.92.135.219,2014-10-13 07:00:00 UTC
cie.coop,68.168.123.178,2014-10-13 07:00:00 UTC
gyouda-clinic.coop,203.183.32.57,2014-10-13 07:00:00 UTC
